name,gender
Aabha,F
Aabharana,F
Aadarshini,F
Aadhya,F
Aadita,F
Aaditi,F
Aaditri,F
Aadrika,F
Aaghnya,F
Aahladita,F
Aahna,F
Aakanksha,F
Aamuktha,F
Aaoka,F
Aapti,F
Aaratrika,F
Aarchi,F
Aarin,F
Aarini,F
Aarna,F
Aarti,F
Aarvi,F
Aarya,F
Aasha,F
Aashalata,F
Aashi,F
Aashika,F
Aashiyana,F
Aashna,F
Aashni,F
Aashritha,F
Aasia,F
Aastha,F
Aathmika,F
Aatmaja,F
Aayaushi,F
Aayushi,F
Abha,F
Abhati,F
Abhaya,F
Abhidha,F
Abhidhya,F
Abhijata,F
Abhijita,F
Abhijna,F
Abhilaasa,F
Abhilasa,F
Abhilasha,F
Abhinaya,F
Abhinithi,F
Abhiprithi,F
Abhira,F
Abhirami,F
Abhirathi,F
Abhiri,F
Abhiruchi,F
Abhirupa,F
Abhisarika,F
Abhisri,F
Abhitha,F
Abhithi,F
Abirami,F
Abishta,F
Abja,F
Aboil,F
Aboli,F
Achala,F
Achira,F
Achit,F
Achla,F
Acira,F
Adarsha,F
Adhira,F
Adhishree,F
Adishree,F
Aditha,F
Adithi,F
Aditi,F
Aditri,F
Adrija,F
Adrika,F
Adrisa,F
Advika,F
Adwita,F
Adwiteya,F
Adwitiya,F
Adya,F
Aesha,F
Agalya,F
Agamya,F
Agasti,F
Aghanashini,F
Agnishikha,F
Agrata,F
Agrima,F
Ahalya,F
Ahilya,F
Ahimsa,F
Ahladajanani,F
Ahladita,F
Ahladitha,F
Aishani,F
Aishi,F
Aishwarya,F
Aja,F
Ajaa,F
Ajagandha,F
Ajala,F
Ajanta,F
Ajastha,F
Ajeeta,F
Ajita,F
Akalka,F
Akane,F
Akanksha,F
Akashleena,F
Akharnitha,F
Akhila,F
Akira,F
Akriti,F
Akshadha,F
Akshara,F
Akshata,F
Akshaya,F
Akshda,F
Akshi,F
Akshita,F
Aksithi,F
Akula,F
Akuti,F
Alaina,F
Alaka,F
Alakananda,F
Alaknanda,F
Alankrita,F
Alda,F
Alekhya,F
Alisha,F
Alka,F
Aloki,F
Alopa,F
Alpa,F
Alpana,F
Alpita,F
Amala,F
Amaldeepti,F
Amani,F
Amara,F
Amari,F
Amarta,F
Amaya,F
Amba,F
Ambalika,F
Amberley,F
Ambika,F
Ambu,F
Ambuda,F
Ambuja,F
Ami,F
Amidi,F
Amisha,F
Amishi,F
Amishta,F
Amita,F
Amithi,F
Amiti,F
Amitjyoti,F
Amla,F
Amlika,F
Amoda,F
Amodini,F
Amogha,F
Amolika,F
Amoolya,F
Amrapali,F
Amrita,F
Amritkala,F
Amrusha,F
Amrutha,F
Amshula,F
Amukta,F
Amvi,F
Ana,F
Anagha,F
Anagi,F
Anahita,F
Anala,F
Anamika,F
Ananda,F
Anandalakshmi,F
Anandamaye,F
Anandamayi,F
Anandani,F
Anandhi,F
Anandi,F
Anandini,F
Anandita,F
Anandmayee,F
Anangee,F
Ananta,F
Anantha,F
Ananti,F
Anantya,F
Ananya,F
Anara,F
Anarghya,F
Anasuya,F
Anathi,F
Anavi,F
Anaya,F
Anayna,F
Anchal,F
Anchala,F
Anchita,F
Aneesha,F
Aneet,F
Anemone,F
Angaja,F
Angana,F
Angarika,F
Angel,F
Angha,F
Angira,F
Anglina,F
Angoori,F
Anhithi,F
Ania,F
Aniha,F
Anika,F
Anilaja,F
Anima,F
Anindita,F
Aninditha,F
Anisha,F
Anishka,F
Anita,F
Aniya,F
Anjali,F
Anjalika,F
Anjana,F
Anjani,F
Anjika,F
Anjini,F
Anju,F
Anjushri,F
Ankita,F
Ankitha,F
Ankolika,F
Annada,F
Annapoorna,F
Annapurna,F
Annika,F
Annisa,F
Annjaya,F
Anokhi,F
Ansha,F
Anshi,F
Anshika,F
Anshita,F
Anshula,F
Anshumala,F
Anshumali,F
Ansuya,F
Antara,F
Antariksha,F
Antini,F
Anubhuti,F
Anudeepthi,F
Anuga,F
Anugraha,F
Anuja,F
Anukampa,F
Anukeertana,F
Anukriti,F
Anula,F
Anulata,F
Anulekha,F
Anuloma,F
Anumati,F
Anumegha,F
Anumeha,F
Anumita,F
Anunitha,F
Anupa,F
Anupama,F
Anuprabha,F
Anupriya,F
Anuradha,F
Anuragini,F
Anurati,F
Anusha,F
Anushka,F
Anushri,F
Anusri,F
Anusuya,F
Anuttara,F
Anuva,F
Anvi,F
Anvika,F
Anvita,F
Anwesha,F
Anwita,F
Anya,F
Aolani,F
Apala,F
Apara,F
Aparajita,F
Aparijita,F
Aparna,F
Aparoopa,F
Apeksha,F
Apinaya,F
Apsara,F
Apurba,F
Apurva,F
Araceli,F
Aradhana,F
Arathi,F
Arati,F
Archa,F
Archana,F
Archie,F
Archini,F
Archisha,F
Archita,F
Ardra,F
Arianna,F
Arij,F
Ariktha,F
Ariona,F
Arisha,F
Arja,F
Arjuni,F
Arkita,F
Armita,F
Arni,F
Arogyada,F
Arohi,F
Arpana,F
Arpita,F
Arshia,F
Arshitha,F
Arshiya,F
Artana,F
Arti,F
Aruna,F
Arundhathi,F
Arundhati,F
Arunima,F
Arushi,F
Aruvi,F
Aryahi,F
Aryama,F
Aryana,F
Asavari,F
Aseema,F
Asgari,F
Asha,F
Ashakiran,F
Ashalata,F
Ashani,F
Ashavari,F
Ashika,F
Ashima,F
Ashiqa,F
Ashira,F
Ashita,F
Ashlesha,F
Ashley,F
Ashmi,F
Ashmita,F
Ashna,F
Ashoka,F
Ashrita,F
Ashritha,F
Ashwabha,F
Ashwina,F
Asita,F
Askini,F
Aslesha,F
Asmita,F
Astha,F
Asvika,F
Aswani,F
Aswathi,F
Asya,F
Atasi,F
Athalia,F
Athasha,F
Atheeva,F
Atiriya,F
Atmaja,F
Atmikha,F
Atreyi,F
Atula,F
Auhna,F
Avani,F
Avanija,F
Avanti,F
Avantika,F
Avapya,F
Avasa,F
Avedna,F
Avigna,F
Avika,F
Avinashika,F
Avipsa,F
